3392	4.0
701	7.0
337	2.0
3857	5.0
3516	5.0
3617	5.0
3022	4.0
2569	4.0
2985	4.0
2407	4.0
1464	3.0
1458	3.0
1075	3.0
3133	4.0
1585	3.0
1503	3.0
1869	3.0
3278	4.0
3489	5.0
351	3.0
2782	4.0
3149	4.0
2422	4.0
2837	4.0
110	2.0
556	4.0
3498	5.0
3122	4.0
2028	4.0
1495	3.0
2882	4.0
621	4.0
2320	4.0
12	2.0
1011	3.0
1728	3.0
3974	5.0
2483	4.0
176	2.0
3187	4.0
1365	3.0
3588	5.0
2191	4.0
2675	4.0
1121	3.0
2803	4.0
2404	4.0
2789	4.0
1120	3.0
83	2.0
631	4.0
2508	3.0
3910	5.0
2373	4.0
3653	5.0
2309	4.0
3788	5.0
2109	4.0
906	3.0
430	4.0
1372	3.0
528	4.0
3435	4.0
475	3.0
1478	3.0
1683	3.0
3724	5.0
655	4.0
858	6.0
1239	3.0
3858	5.0
2157	3.0
3273	4.0
3094	4.0
3078	4.0
1168	3.0
3287	4.0
784	7.0
2489	4.0
130	2.0
3203	4.0
593	4.0
1791	3.0
3739	5.0
288	2.0
1221	3.0
1461	3.0
2652	4.0
454	4.0
3151	4.0
1917	4.0
2149	4.0
1797	3.0
303	2.0
3141	4.0
3336	4.0
1176	3.0
951	3.0
421	4.0
260	2.0
2241	4.0
312	2.0
1557	3.0
2740	3.0
3951	5.0
3774	5.0
3665	5.0
1472	3.0
2910	4.0
3159	4.0
3316	4.0
3061	4.0
1044	3.0
999	3.0
1027	3.0
1768	3.0
682	4.0
3885	5.0
3446	5.0
3819	5.0
2058	4.0
1300	3.0
2319	3.0
1216	3.0
4030	6.0
909	3.0
3609	4.0
1093	3.0
281	2.0
1190	3.0
3441	5.0
3642	5.0
869	6.0
2356	4.0
3510	5.0
3558	5.0
1393	3.0
955	3.0
3552	5.0
2938	4.0
3380	4.0
1648	3.0
1366	3.0
257	2.0
3365	4.0
3359	4.0
1210	3.0
1784	3.0
3259	4.0
2530	4.0
604	4.0
620	4.0
3782	5.0
1952	4.0
3179	4.0
630	4.0
2511	3.0
574	4.0
2678	4.0
3803	5.0
1562	3.0
840	6.0
3009	4.0
1605	3.0
3938	5.0
3509	5.0
646	4.0
1401	3.0
2601	4.0
1590	3.0
811	6.0
1447	3.0
1654	3.0
1422	3.0
765	7.0
2905	4.0
3644	5.0
2070	4.0
1992	4.0
1604	3.0
2800	4.0
2796	4.0
1489	3.0
3975	5.0
1548	3.0
3131	4.0
2330	4.0
48	1.0
2983	4.0
2439	4.0
758	7.0
199	2.0
358	4.0
810	6.0
2716	4.0
2275	4.0
1423	3.0
877	6.0
1635	3.0
537	4.0
3280	4.0
2238	4.0
2013	4.0
1065	3.0
1149	3.0
2351	4.0
1288	3.0
812	7.0
3216	4.0
1844	3.0
393	3.0
3421	4.0
3943	4.0
2522	4.0
2436	3.0
923	3.0
737	7.0
391	4.0
766	7.0
2799	4.0
179	2.0
973	3.0
927	3.0
849	7.0
171	2.0
2348	4.0
2781	4.0
3297	4.0
1849	3.0
1947	4.0
2672	4.0
20	2.0
3685	5.0
3752	5.0
2644	4.0
1802	3.0
2073	4.0
3981	6.0
446	4.0
773	7.0
3565	5.0
2079	4.0
1851	3.0
748	7.0
1249	3.0
2170	4.0
2734	4.0
1735	3.0
3010	4.0
2636	3.0
3829	5.0
255	2.0
2072	3.0
2376	4.0
